id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,durability,injury_risk,recovery_rate,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes,recalibration_model,popularity,momentum,ringSkill,promoSkill,morale,fatigue
wwe_raw_dragon_lee,Dragon Lee,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,,79,79,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,931000,52,25,80,76,78,83,74,83,81,74,83,82,73,79,79,77,79,78,70,24,70,71,82,16,75,71,78,76,82,71,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,72,54,76,70,51,6
wwe_raw_el_grande_americano,El Grande Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,RingGeneral,,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,84,19,73,78,84,12,84,91,89,85,83,79,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,74,62,80,77,62,4
wwe_raw_erik,Erik,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Tweener,RingGeneral,The War Raiders,,78,78,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,143000,52,25,78,77,77,77,76,79,83,72,79,84,72,75,80,74,78,77,77,19,73,67,82,16,79,78,77,75,77,66,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,54,46,62,49,47,6
wwe_raw_ethan_page,Ethan Page,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,83,83,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,946000,52,25,85,81,83,80,89,85,86,81,85,81,82,85,90,83,89,85,78,23,70,76,77,14,86,88,86,85,85,80,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,74,62,79,76,60,6
wwe_raw_finn_b_lor,Finn Bálor,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,964000,52,25,86,87,86,91,82,86,87,93,85,94,83,91,95,89,87,90,84,23,72,85,89,17,84,94,92,87,87,81,83,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,76,64,82,79,63,6
wwe_raw_grayson_waller,Grayson Waller,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Heel,RingGeneral,,,50,72,"Game-derived estimate from roster tier, title status, current availability, and known public role",Medium,139000,52,25,73,72,72,73,71,67,67,65,75,76,67,73,71,72,70,71,68,20,73,68,68,21,72,81,71,69,68,61,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,39,44,41,41,45,11
wwe_raw_ivar,Ivar,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Tweener,RingGeneral,The War Raiders,,79,79,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,143000,52,25,76,79,77,76,72,73,77,74,79,75,75,80,84,76,74,79,69,30,66,78,76,12,82,83,80,76,83,69,76,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,52,53,57,58,58,20
wwe_raw_jd_mcdonagh,JD McDonagh,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,79,79,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,931000,52,25,77,77,77,78,73,76,74,73,76,77,79,83,81,85,73,81,72,31,66,78,76,24,76,83,83,78,77,77,85,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,70,59,73,73,57,21
wwe_raw_je_von_evans,Je'Von Evans,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,78,78,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,927000,52,25,76,78,77,73,71,79,78,82,73,83,77,75,72,78,77,76,74,21,68,72,75,23,81,78,75,76,77,75,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,68,53,77,64,49,7
wwe_raw_jey_uso,Jey Uso,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,975000,52,25,91,91,91,94,96,86,88,90,89,90,85,90,86,86,88,87,88,22,73,82,91,22,92,89,86,86,91,83,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,78,65,82,77,61,4
wwe_raw_jimmy_uso,Jimmy Uso,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,957000,52,25,88,85,86,86,85,80,88,87,87,83,85,90,89,91,84,88,79,30,65,80,81,20,85,95,90,86,84,83,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,75,63,80,78,62,16
wwe_raw_joaquin_wilde,Joaquin Wilde,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Face,RingGeneral,,,72,72,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,139000,52,25,73,72,72,73,71,67,67,65,75,76,67,73,71,72,70,71,68,20,73,68,68,21,72,81,71,69,68,61,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,39,44,41,41,45,11
wwe_raw_joe_hendry,Joe Hendry,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,81,81,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,938000,52,25,82,80,81,80,78,75,76,79,81,79,77,79,75,77,81,77,73,20,70,77,79,15,83,85,76,78,78,75,87,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,72,60,76,72,58,4
wwe_raw_julius_creed,Julius Creed,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Heel,Powerhouse,American Made,,50,72,"Game-derived estimate from roster tier, title status, current availability, and known public role",Medium,139000,52,25,72,71,71,74,68,70,71,77,70,72,67,71,75,67,74,71,67,21,63,70,66,26,68,79,71,70,77,61,78,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,38,45,41,41,45,10
wwe_raw_la_knight,LA Knight,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,968000,52,25,90,89,89,88,92,90,89,85,91,88,83,91,96,91,88,92,86,23,65,85,94,27,92,91,93,88,91,81,87,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,77,65,82,79,63,4
wwe_raw_logan_paul,Logan Paul,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,Showman,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,972000,52,25,93,90,91,97,91,89,91,89,86,93,85,93,99,93,90,95,85,33,65,76,88,18,86,83,97,90,88,83,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,79,63,77,85,51,13
wwe_raw_montez_ford,Montez Ford,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,80,80,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,934000,52,25,79,77,78,77,77,79,75,79,82,83,77,79,83,75,82,79,77,26,68,71,76,19,84,84,79,79,79,75,79,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,71,58,77,73,49,5
wwe_raw_original_el_grande_americano,Original El Grande Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,RingGeneral,American Made,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,84,19,73,78,84,12,84,91,89,85,83,79,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,74,62,80,77,62,4
wwe_raw_otis,Otis,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Face,RingGeneral,Alpha Academy,,75,75,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,141000,52,25,72,74,73,75,74,71,75,76,72,73,70,75,78,74,69,75,72,21,73,78,80,19,74,81,76,71,79,64,80,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,42,48,54,45,59,10
wwe_raw_penta,Penta,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,Intercontinental Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,85,82,83,83,87,84,89,79,87,84,78,80,75,78,89,79,73,32,60,71,86,26,83,83,76,81,87,76,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,74,67,78,71,49,19
wwe_raw_rayo_americano,Rayo Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Tweener,RingGeneral,,,50,72,"Game-derived estimate from roster tier, title status, current availability, and known public role",Medium,139000,52,25,73,72,72,73,71,67,67,65,75,76,67,73,71,72,70,71,68,20,73,68,68,21,72,81,71,69,68,61,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,39,45,41,41,45,11
wwe_raw_rey_mysterio,Rey Mysterio,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,85,82,83,83,87,84,89,79,87,84,78,80,75,78,89,79,73,32,60,71,86,26,83,83,76,81,87,76,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,74,62,78,71,49,19
wwe_raw_roman_reigns,Roman Reigns,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Face,Showman,,World Heavyweight Champion,95,95,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3809000,52,35,99,99,99,99,99,98,92,89,97,97,99,99,99,99,99,99,92,25,67,80,99,27,99,90,99,99,86,99,99,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,95,79,91,94,64,4
wwe_raw_rusev,Rusev,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,50,72,"Game-derived estimate from roster tier, title status, current availability, and known public role",Medium,904000,52,25,74,70,72,78,68,66,73,71,72,70,72,72,75,72,74,73,67,19,74,77,74,16,72,70,73,73,74,70,73,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,58,52,63,61,61,4
wwe_raw_seth_rollins,Seth Rollins,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Face,Showman,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,99,99,99,99,95,93,91,95,93,96,99,99,99,99,99,99,89,32,69,82,95,23,96,97,99,99,89,99,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,95,75,90,94,61,7
wwe_raw_sheamus,Sheamus,WWE,Raw,Raw,Mens,Mens,Yes,Active,UpperCard,Unknown,Powerhouse,,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1914000,52,35,86,87,86,86,87,90,87,89,82,85,88,89,89,86,90,87,78,24,72,77,84,28,87,91,87,88,82,89,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,85,68,84,83,53,4
wwe_raw_asuka,Asuka,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3752000,52,35,98,95,96,94,93,85,94,88,93,86,97,91,89,90,98,90,87,27,63,78,98,30,93,90,89,94,84,99,86,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,94,74,94,90,60,19
wwe_raw_bayley,Bayley,WWE,Raw,Raw,Womens,Womens,Yes,Active,UpperCard,Unknown,RingGeneral,,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1936000,52,35,86,91,88,90,91,91,94,83,84,89,89,87,91,88,83,89,83,28,69,82,94,37,95,96,89,87,91,90,95,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,85,69,89,84,64,4
wwe_raw_becky_lynch,Becky Lynch,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,Women's Intercontinental Champion,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,98,99,98,94,97,95,95,88,97,96,98,93,94,92,94,93,90,18,70,89,99,29,95,99,93,95,87,99,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,95,80,94,91,66,4
wwe_raw_ivy_nile,Ivy Nile,WWE,Raw,Raw,Womens,Womens,Yes,Active,Prospect,Unknown,RingGeneral,American Made,,76,76,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,354000,52,25,78,73,75,76,83,80,78,80,74,77,71,78,79,75,76,76,68,30,66,75,75,23,75,84,77,74,74,65,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,58,55,69,64,55,11
wwe_raw_iyo_sky,IYO SKY,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,99,99,99,99,95,97,95,94,88,99,97,99,94,99,96,82,32,61,80,94,26,96,99,97,98,84,99,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,95,75,94,93,63,11
wwe_raw_liv_morgan,Liv Morgan,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Face,RingGeneral,,Women's World Champion,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,94,79,94,93,65,4
wwe_raw_lyra_valkyria,Lyra Valkyria,WWE,Raw,Raw,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,,,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,76,31,62,75,87,20,87,92,88,83,89,81,86,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,73,61,78,76,56,6
wwe_raw_maxxine_dupri,Maxxine Dupri,WWE,Raw,Raw,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,Alpha Academy,,78,78,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,927000,52,25,79,75,77,83,77,73,78,83,76,80,78,84,88,82,76,82,74,26,65,77,78,16,79,79,85,79,80,76,73,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,71,60,76,74,60,18
wwe_raw_naomi,Naomi,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,94,74,94,93,65,4
