segment_id,segment_family,segment_group,display_name,variant,default_min_participants,default_max_participants,default_duration_minutes,championship_allowed,winner_required,weekly_tv_booking_cost_usd,ple_ppv_booking_cost_usd,cost_tier,talent_appearance_fees_apply,championship_surcharge_usd,rivalry_surcharge_usd,base_stamina_cost,stamina_cost_per_minute,computed_default_stamina_cost,fatigue_gain,injury_risk_delta_pct,medical_risk_cost_estimate,booking_cost_multiplier,physical_risk_1_5,stipulation_intensity_1_5,spectacle_1_5,rivalry_heat_delta,crowd_buzz_delta,show_quality_weight,finance_formula_notes
M047,Match,Stipulation,Submission Match,One on One,2,2,13,TRUE,TRUE,33000,46500,High,FALSE,0,0,15,0.8,25.4,13,1.5,1125,1.1,3,2,2,3,3,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M048,Match,Stipulation,Last Man Standing,One on One,2,2,17,TRUE,TRUE,84500,131500,Premium,FALSE,0,0,25,1.2,45.4,28,5.5,4125,1.5,5,5,5,6,6,1.2,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M049,Match,Stipulation,Iron Man Match,Timed endurance,2,2,30,TRUE,TRUE,79500,115000,Premium,FALSE,0,0,30,1.1,63.0,34,3.2,2400,1.6,4,4,3,5,6,1.3,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M050,Match,Stipulation,Casket Match,One on One,2,2,14,TRUE,TRUE,75000,116000,Premium,FALSE,0,0,20,1.0,34.0,21,4.0,3000,1.45,4,4,5,5,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M051,Match,Stipulation,Ambulance Match,One on One,2,2,15,TRUE,TRUE,88000,136500,Premium,FALSE,0,0,22,1.1,38.5,24,5.0,3750,1.55,4,4,5,5,6,1.18,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M052,Match,Stipulation,I Quit Match,One on One,2,2,18,TRUE,TRUE,99500,154500,Premium,FALSE,0,0,27,1.25,49.5,31,6.0,4500,1.65,5,5,5,6,8,1.25,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M053,Match,Stipulation,Inferno Match,One on One,2,2,15,TRUE,TRUE,144000,223000,Premium,FALSE,0,0,28,1.3,47.5,34,8.5,6375,2.0,5,5,5,7,9,1.25,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M054,Match,Stipulation,Dumpster Match,One on One,2,2,13,TRUE,TRUE,70500,109500,Premium,FALSE,0,0,20,1.0,33.0,22,4.5,3375,1.4,4,4,5,5,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M055,Match,Stipulation,3 Stages of Hell,Three-stage match,2,2,28,TRUE,TRUE,185000,287000,Premium,FALSE,0,0,40,1.4,79.2,48,9.0,6750,2.2,5,5,5,8,11,1.4,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M056,Match,Stipulation,Elimination Chamber,6-Way chamber,6,6,25,TRUE,TRUE,195000,302500,Premium,FALSE,0,0,36,1.25,67.25,44,8.0,6000,2.1,5,5,5,8,10,1.38,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M057,Match,Stipulation,WarGames Match,Three on Three,6,6,28,TRUE,TRUE,198500,307500,Premium,FALSE,0,0,34,1.1,64.8,42,7.2,5400,2.0,5,5,5,7,10,1.35,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M058,Match,Stipulation,WarGames Match,Four on Four,8,8,30,TRUE,TRUE,245000,379500,Premium,FALSE,0,0,38,1.15,72.5,48,8.5,6375,2.25,5,5,5,8,11,1.4,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M059,Match,Elimination,Battle Royal,Fatal 4-Way over top rope,4,4,10,FALSE,TRUE,35000,50500,High,FALSE,0,0,12,0.6,18.0,9,1.2,900,1.05,3,2,3,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M060,Match,Elimination,Battle Royal,5-Way over top rope,5,5,11,FALSE,TRUE,38500,55500,High,FALSE,0,0,13,0.65,20.15,10,1.4,1050,1.08,3,2,3,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M061,Match,Elimination,Battle Royal,6-Way over top rope,6,6,12,FALSE,TRUE,44000,63500,High,FALSE,0,0,14,0.7,22.4,11,1.6,1200,1.1,3,3,3,3,4,1.02,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M062,Match,Elimination,Battle Royal,8-Way over top rope,8,8,14,FALSE,TRUE,50500,75500,Premium,FALSE,0,0,16,0.75,26.5,13,2.0,1500,1.15,4,3,4,4,4,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M063,Match,Elimination,Royal Rumble,10-Man,10,10,20,FALSE,TRUE,116500,175000,Premium,FALSE,0,0,24,0.8,40.0,25,3.5,2625,1.6,4,4,4,5,7,1.25,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M064,Match,Elimination,Royal Rumble,20-Man,20,20,35,FALSE,TRUE,254500,394000,Premium,FALSE,0,0,32,0.85,61.75,42,5.0,3750,2.2,4,5,5,7,10,1.4,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M065,Match,Elimination,Royal Rumble,30-Man,30,30,50,FALSE,TRUE,275000,425000,Premium,FALSE,0,0,42,0.9,87.0,60,7.0,5250,3.0,4,5,5,10,14,1.55,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M066,Match,Elimination,Gauntlet Match,4 entrants,4,4,22,TRUE,TRUE,67000,97000,Premium,FALSE,0,0,26,0.8,43.6,28,3.0,2250,1.45,4,3,3,5,6,1.22,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M067,Match,Elimination,Gauntlet Match,5 entrants,5,5,26,TRUE,TRUE,85500,123500,Premium,FALSE,0,0,30,0.82,51.32,34,3.8,2850,1.6,4,4,3,6,7,1.28,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M068,Match,Elimination,Gauntlet Match,6 entrants,6,6,30,TRUE,TRUE,107000,160500,Premium,FALSE,0,0,34,0.85,59.5,40,4.5,3375,1.8,4,4,4,7,8,1.32,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M069,Match,Elimination,Gauntlet Turmoil,Tag gauntlet,8,12,28,TRUE,TRUE,108500,162500,Premium,FALSE,0,0,30,0.78,51.84,34,3.5,2625,1.75,4,4,4,6,8,1.28,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M070,Match,Elimination,Gauntlet Eliminator,Multi-entrant eliminator,5,8,24,TRUE,TRUE,102500,154000,Premium,FALSE,0,0,30,0.9,51.6,36,4.5,3375,1.8,4,4,4,6,8,1.3,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M071,Match,Special Rules,Special Guest Referee,One on One,3,3,14,TRUE,TRUE,46000,69000,High,FALSE,0,0,13,0.65,22.1,10,1.0,750,1.15,3,3,4,3,4,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M072,Match,Tournament,Tournament Match,Bracket singles,2,2,12,TRUE,TRUE,26500,36500,High,FALSE,0,0,13,0.65,20.8,10,0.9,675,1.0,2,2,2,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M073,Match,Tournament,Tag Team Tournament Match,Bracket tag,4,4,12,TRUE,TRUE,29500,41500,High,FALSE,0,0,12,0.6,19.2,9,0.9,675,1.0,2,2,2,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M074,Match,Tournament,Dusty Rhodes Classic Match,NXT tag bracket,4,4,13,TRUE,TRUE,33500,48500,High,FALSE,0,0,12,0.6,19.8,9,0.9,675,1.05,2,2,3,3,4,1.02,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M075,Match,Tournament,Mixed Match Challenge,Mixed tag bracket,4,4,12,TRUE,TRUE,32000,46000,High,FALSE,0,0,11,0.55,17.6,8,0.8,600,1.02,2,2,3,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M076,Match,Custom Rules,First Blood Match,Custom win condition,2,2,12,TRUE,TRUE,52000,78500,Premium,FALSE,0,0,18,0.95,29.4,17,4.2,3150,1.3,4,3,4,4,5,1.08,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M077,Match,Custom Rules,Finisher Match,Custom win condition,2,2,11,TRUE,TRUE,32000,46000,High,FALSE,0,0,13,0.7,20.7,10,1.2,900,1.05,3,2,3,3,3,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M078,Match,Custom Rules,2 Out of 3 Falls Match,Custom win condition,2,2,20,TRUE,TRUE,48000,70000,High,FALSE,0,0,22,0.85,39.0,24,2.2,1650,1.25,3,3,3,4,5,1.15,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M079,Match,Custom Rules,KO Match,Knockout rules,2,2,10,TRUE,TRUE,43000,64500,High,FALSE,0,0,16,0.9,25.0,15,2.8,2100,1.15,4,3,4,4,4,1.0,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
M080,Match,Custom Rules,Underground Match,No ropes KO/submission,2,2,11,TRUE,TRUE,55000,85500,Premium,FALSE,0,0,18,1.0,29.0,18,4.0,3000,1.25,4,4,5,4,5,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P001,Promo,Core Promo,In-Ring Promo,Solo,1,1,5,TRUE,FALSE,7000,9000,Low,FALSE,0,0,0,0.05,0.25,1,0.0,0,1.0,1,1,1,1,1,0.75,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P002,Promo,Core Promo,Self Promo,Momentum builder,1,1,5,TRUE,FALSE,7000,9000,Low,FALSE,0,0,0,0.05,0.25,1,0.0,0,1.0,1,1,1,1,1,0.8,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P003,Promo,Core Promo,Call-Out Promo,Calls out rival,1,2,6,TRUE,FALSE,10000,13500,Low,FALSE,0,0,0,0.05,0.3,1,0.0,0,1.0,1,2,2,3,3,0.9,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P004,Promo,Core Promo,Rivalry Promo,Direct feud beat,2,4,7,TRUE,FALSE,10000,14000,Low,FALSE,0,0,0,0.05,0.35,1,0.0,0,1.0,1,2,2,4,3,0.95,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P005,Promo,Core Promo,Championship Address,Champion speaks,1,2,6,TRUE,FALSE,11500,16500,Low,FALSE,0,0,0,0.05,0.3,1,0.0,0,1.0,1,2,3,3,3,0.95,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P006,Promo,Core Promo,Contender Declaration,Challenges champion,1,2,6,TRUE,FALSE,10000,13500,Low,FALSE,0,0,0,0.05,0.3,1,0.0,0,1.0,1,2,2,3,3,0.9,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P007,Promo,Core Promo,Open Challenge,Champion or star invites opponent,1,3,7,TRUE,FALSE,16500,24500,Medium,FALSE,0,0,0,0.05,0.35,1,0.0,0,1.0,1,3,4,5,5,1.05,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
P008,Promo,Core Promo,Contract Signing,Formal match signing,2,6,9,TRUE,FALSE,21000,31500,Medium,FALSE,0,0,0,0.05,0.45,2,0.0,0,1.0,1,4,4,6,5,1.1,"Economy v4: segment production cost only. Show Production Finance v3 does not charge talent appearance fees, championship surcharges, or rivalry surcharges."
