top_200_rank,wrestler_id,performer_name,promotion,brand,gender_division,role_tier,availability,game_overall,top_200_selection_score,draft_value_usd,weekly_hire_rate_usd,initial_draft_contract_scope,initial_draft_contract_weeks,initial_draft_cost_formula,midseason_min_contract_weeks,midseason_default_contract_weeks,midseason_max_contract_weeks,midseason_default_contract_total_usd,midseason_min_contract_total_usd,midseason_max_contract_total_usd,midseason_hiring_cost_formula,appearance_fee_usd,downside_guarantee_usd,release_penalty_pct,morale_cost_if_underbooked,renewal_risk,value_formula_version,value_notes,source_rating_basis,primary_roster_source_url,ratings_source_url
11,wwe_smackdown_gunther,Gunther,WWE,SmackDown,Mens,MainEvent,Active,93,95.35,190000,18250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,219000,146000,438000,weekly_hire_rate_usd * selected_contract_weeks,8250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
12,wwe_raw_iyo_sky,IYO SKY,WWE,Raw,Womens,MainEvent,Active,93,95.35,190000,18250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,219000,146000,438000,weekly_hire_rate_usd * selected_contract_weeks,8250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
13,wwe_raw_liv_morgan,Liv Morgan,WWE,Raw,Womens,MainEvent,Active,92,95.05,187500,18000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,216000,144000,432000,weekly_hire_rate_usd * selected_contract_weeks,8250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
14,wwe_smackdown_drew_mcintyre,Drew McIntyre,WWE,SmackDown,Mens,MainEvent,Active,93,95,185000,17750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,213000,142000,426000,weekly_hire_rate_usd * selected_contract_weeks,8250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
15,wwe_smackdown_randy_orton,Randy Orton,WWE,SmackDown,Mens,MainEvent,Active,92,94.35,185000,17750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,213000,142000,426000,weekly_hire_rate_usd * selected_contract_weeks,8000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
16,aew_aew_will_ospreay,Will Ospreay,AEW,AEW,Mens,MainEvent,Active,93,94,182500,17500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,210000,140000,420000,weekly_hire_rate_usd * selected_contract_weeks,8000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
17,aew_aew_mercedes_mon,Mercedes Moné,AEW,AEW,Womens,MainEvent,Active,92,93.55,182500,17500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,210000,140000,420000,weekly_hire_rate_usd * selected_contract_weeks,8000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
18,wwe_raw_naomi,Naomi,WWE,Raw,Womens,MainEvent,Active,92,93.55,180000,17250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,207000,138000,414000,weekly_hire_rate_usd * selected_contract_weeks,7750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
19,wwe_raw_stephanie_vaquer,Stephanie Vaquer,WWE,Raw,Womens,MainEvent,Active,92,93.55,177500,17000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,204000,136000,408000,weekly_hire_rate_usd * selected_contract_weeks,7750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
20,wwe_raw_asuka,Asuka,WWE,Raw,Womens,MainEvent,Active,91,93.1,177500,17000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,204000,136000,408000,weekly_hire_rate_usd * selected_contract_weeks,7750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
21,aew_aew_jon_moxley,Jon Moxley,AEW,AEW,Mens,MainEvent,Active,90,92.65,175000,16750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,201000,134000,402000,weekly_hire_rate_usd * selected_contract_weeks,7750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
22,wwe_raw_bron_breakker,Bron Breakker,WWE,Raw,Mens,MainEvent,Active,90,92.2,175000,16750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,201000,134000,402000,weekly_hire_rate_usd * selected_contract_weeks,7500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
23,aew_aew_thekla,Thekla,AEW,AEW,Womens,MainEvent,Active,87,90.45,172500,16500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,198000,132000,396000,weekly_hire_rate_usd * selected_contract_weeks,7500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
24,aew_aew_willow_nightingale,Willow Nightingale,AEW,AEW,Womens,MainEvent,Active,87,90.45,170000,16250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,195000,130000,390000,weekly_hire_rate_usd * selected_contract_weeks,7500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
25,wwe_smackdown_jade_cargill,Jade Cargill,WWE,SmackDown,Womens,MainEvent,Active,88,90.2,170000,16250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,195000,130000,390000,weekly_hire_rate_usd * selected_contract_weeks,7500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
26,wwe_smackdown_charlotte_flair,Charlotte Flair,WWE,SmackDown,Womens,Midcard,Active,93,89.4,82500,8000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,96000,64000,192000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
27,aew_aew_swerve_strickland,Swerve Strickland,AEW,AEW,Mens,UpperCard,Active,90,89.35,132500,12750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,153000,102000,306000,weekly_hire_rate_usd * selected_contract_weeks,6250,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
28,wwe_smackdown_jacob_fatu,Jacob Fatu,WWE,SmackDown,Mens,MainEvent,Active,88,89.2,167500,16000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,192000,128000,384000,weekly_hire_rate_usd * selected_contract_weeks,7250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
29,wwe_smackdown_tiffany_stratton,Tiffany Stratton,WWE,SmackDown,Womens,Midcard,Active,91,88.6,82500,8000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,96000,64000,192000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
30,aew_aew_mjf,MJF,AEW,AEW,Mens,UpperCard,Active,90,88.55,130000,12500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,150000,100000,300000,weekly_hire_rate_usd * selected_contract_weeks,6250,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
31,aew_aew_dax_harwood,Dax Harwood,AEW,AEW,Mens,MainEvent,Active,84,88.45,165000,15750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,189000,126000,378000,weekly_hire_rate_usd * selected_contract_weeks,7250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
32,aew_aew_kevin_knight,Kevin Knight,AEW,AEW,Mens,MainEvent,Active,84,88.45,165000,15750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,189000,126000,378000,weekly_hire_rate_usd * selected_contract_weeks,7250,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
33,aew_aew_orange_cassidy,Orange Cassidy,AEW,AEW,Mens,MainEvent,Active,86,88.45,162500,15500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,186000,124000,372000,weekly_hire_rate_usd * selected_contract_weeks,7000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
34,aew_aew_jay_white,Jay White,AEW,AEW,Mens,UpperCard,Injured,90,88.35,127500,12250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,147000,98000,294000,weekly_hire_rate_usd * selected_contract_weeks,6000,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
35,aew_aew_megan_bayne,Megan Bayne,AEW,AEW,Womens,MainEvent,Active,84,88.1,160000,15250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,183000,122000,366000,weekly_hire_rate_usd * selected_contract_weeks,7000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
36,aew_aew_eddie_kingston,Eddie Kingston,AEW,AEW,Mens,UpperCard,Active,90,87.65,125000,12000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,144000,96000,288000,weekly_hire_rate_usd * selected_contract_weeks,6000,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
37,aew_aew_adam_copeland,Adam Copeland,AEW,AEW,Mens,UpperCard,Active,89,87.3,125000,12000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,144000,96000,288000,weekly_hire_rate_usd * selected_contract_weeks,5750,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
38,aew_aew_pac,PAC,AEW,AEW,Mens,UpperCard,Active,89,87.3,122500,11750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,141000,94000,282000,weekly_hire_rate_usd * selected_contract_weeks,5750,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
39,wwe_raw_jey_uso,Jey Uso,WWE,Raw,Mens,Midcard,Active,91,87.15,82500,8000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,96000,64000,192000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
40,aew_aew_cash_wheeler,Cash Wheeler,AEW,AEW,Mens,MainEvent,Active,84,87.05,160000,15250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,183000,122000,366000,weekly_hire_rate_usd * selected_contract_weeks,7000,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
41,aew_aew_kyle_o_reilly,Kyle O'Reilly,AEW,AEW,Mens,MainEvent,Active,84,87.05,157500,15000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,180000,120000,360000,weekly_hire_rate_usd * selected_contract_weeks,6750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
